Sample in Buffer,Sample in Window,TRIGGER,cpu_test_i/PS_to_CPU_controller_0_enable_CPU,cpu_test_i/CPU_0_current_addr[15:0],cpu_test_i/PS_to_CPU_controller_0_CPU_done,cpu_test_i/bluex_0_ram_wr_data[31:0],cpu_test_i/blk_mem_gen_1_doutb[31:0],cpu_test_i/bluex_0_ram_en
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX
121,121,0,1,fe91,0,00000000,00000000,0
122,122,0,1,fe92,0,00000000,00000000,0
123,123,0,1,fe93,0,00000000,00000000,0
124,124,0,1,fe94,0,00000000,00000000,0
125,125,0,1,fe95,0,00000000,00000000,0
126,126,0,1,fe96,0,00000000,00000000,0
127,127,0,1,fe97,0,00000000,00000000,0
128,128,0,1,fe98,0,00000000,00000000,0
129,129,0,1,fe99,0,00000000,00000000,0
130,130,0,1,fe9a,0,00000000,00000000,0
131,131,0,1,fe9b,0,00000000,00000000,0
132,132,0,1,fe9c,0,00000000,00000000,0
133,133,0,1,fe9d,0,00000000,00000000,0
134,134,0,1,fe9e,0,00000000,00000000,0
135,135,0,1,fe9f,0,00000000,00000000,0
136,136,0,1,fea0,0,00000000,00000000,0
137,137,0,1,fea1,0,00000000,00000000,0
138,138,0,1,fea2,0,00000000,00000000,0
139,139,0,1,fea3,0,00000000,00000000,0
140,140,0,1,fea4,0,00000000,00000000,0
141,141,0,1,fea5,0,00000000,00000000,0
142,142,0,1,fea6,0,00000000,00000000,0
143,143,0,1,fea7,0,00000000,00000000,0
144,144,0,1,fea8,0,00000000,00000000,0
145,145,0,1,fea9,0,00000000,00000000,0
146,146,0,1,feaa,0,00000000,00000000,0
147,147,0,1,feab,0,00000000,00000000,0
148,148,0,1,feac,0,00000000,00000000,0
149,149,0,1,fead,0,00000000,00000000,0
150,150,0,1,feae,0,00000000,00000000,0
151,151,0,1,feaf,0,00000000,00000000,0
152,152,0,1,feb0,0,00000000,00000000,0
