Sample in Buffer,Sample in Window,TRIGGER,cpu_test_i/PS_to_CPU_controller_0_enable_CPU,cpu_test_i/CPU_0_current_addr[15:0],cpu_test_i/PS_to_CPU_controller_0_CPU_done,cpu_test_i/bluex_0_ram_wr_data[31:0],cpu_test_i/blk_mem_gen_1_doutb[31:0],cpu_test_i/bluex_0_ram_en
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX
523,523,0,1,0023,0,00000000,00000000,0
524,524,0,1,0024,0,00000000,00000000,0
525,525,0,1,0025,0,00000000,00000000,0
526,526,0,1,0026,0,00000000,00000000,0
527,527,0,1,0027,0,00000000,00000000,0
528,528,0,1,0028,0,00000000,00000000,0
529,529,0,1,0029,0,00000000,00000000,0
530,530,0,1,002a,0,00000000,00000000,0
531,531,0,1,002b,0,00000000,00000000,0
532,532,0,1,002c,0,00000000,00000000,0
533,533,0,1,002d,0,00000000,00000000,0
534,534,0,1,002e,0,00000000,00000000,0
535,535,0,1,002f,0,00000000,00000000,0
536,536,0,1,0030,0,00000000,00000000,0
537,537,0,1,0031,0,00000000,00000000,0
538,538,0,1,0032,0,00000000,00000000,0
539,539,0,1,0033,0,00000000,00000000,0
540,540,0,1,0034,0,00000000,00000000,0
541,541,0,1,0035,0,00000000,00000000,0
542,542,0,1,0036,0,00000000,00000000,0
543,543,0,1,0037,0,00000000,00000000,0
544,544,0,1,0038,0,00000000,00000000,0
545,545,0,1,0039,0,00000000,00000000,0
546,546,0,1,003a,0,00000000,00000000,0
547,547,0,1,003b,0,00000000,00000000,0
548,548,0,1,003c,0,00000000,00000000,0
549,549,0,1,003d,0,00000000,00000000,0
550,550,0,1,003e,0,00000000,00000000,0
551,551,0,1,003f,0,00000000,00000000,0
552,552,0,1,0040,0,00000000,00000000,0
553,553,0,1,0041,0,00000000,00000000,0
554,554,0,1,0042,0,00000000,00000000,0
555,555,0,1,0043,0,00000000,00000000,0
556,556,0,1,0044,0,00000000,00000000,0
557,557,0,1,0045,0,00000000,00000000,0
558,558,0,1,0046,0,00000000,00000000,0
559,559,0,1,0047,0,00000000,00000000,0
560,560,0,1,0048,0,00000000,00000000,0
561,561,0,1,0049,0,00000000,00000000,0
562,562,0,1,004a,0,00000000,00000000,0
563,563,0,1,004b,0,00000000,00000000,0
564,564,0,1,004c,0,00000000,00000000,0
565,565,0,1,004d,0,00000000,00000000,0
566,566,0,1,004e,0,00000000,00000000,0
567,567,0,1,004f,0,00000000,00000000,0
568,568,0,1,0050,0,00000000,00000000,0
569,569,0,1,0051,0,00000000,00000000,0
570,570,0,1,0052,0,00000000,00000000,0
571,571,0,1,0053,0,00000000,00000000,0
572,572,0,1,0054,0,00000000,00000000,0
573,573,0,1,0055,0,00000000,00000000,0
574,574,0,1,0056,0,00000000,00000000,0
575,575,0,1,0057,0,00000000,00000000,0
576,576,0,1,0058,0,00000000,00000000,0
577,577,0,1,0059,0,00000000,00000000,0
578,578,0,1,005a,0,00000000,00000000,0
579,579,0,1,005b,0,00000000,00000000,0
580,580,0,1,005c,0,00000000,00000000,0
581,581,0,1,005d,0,00000000,00000000,0
582,582,0,1,005e,0,00000000,00000000,0
583,583,0,1,005f,0,00000000,00000000,0
584,584,0,1,0060,0,00000000,00000000,0
585,585,0,1,0061,0,00000000,00000000,0
586,586,0,1,0062,0,00000000,00000000,0
587,587,0,1,0063,0,00000000,00000000,0
588,588,0,1,0064,0,00000000,00000000,0
589,589,0,1,0065,0,00000000,00000000,0
590,590,0,1,0066,0,00000000,00000000,0
591,591,0,1,0067,0,00000000,00000000,0
592,592,0,1,0068,0,00000000,00000000,0
593,593,0,1,0069,0,00000000,00000000,0
594,594,0,1,006a,0,00000000,00000000,0
595,595,0,1,006b,0,00000000,00000000,0
596,596,0,1,006c,0,00000000,00000000,0
597,597,0,1,006d,0,00000000,00000000,0
598,598,0,1,006e,0,00000000,00000000,0
599,599,0,1,006f,0,00000000,00000000,0
600,600,0,1,0070,0,00000000,00000000,0
601,601,0,1,0071,0,00000000,00000000,0
602,602,0,1,0072,0,00000000,00000000,0
603,603,0,1,0073,0,00000000,00000000,0
604,604,0,1,0074,0,00000000,00000000,0
605,605,0,1,0075,0,00000000,00000000,0
606,606,0,1,0076,0,00000000,00000000,0
607,607,0,1,0077,0,00000000,00000000,0
608,608,0,1,0078,0,00000000,00000000,0
609,609,0,1,0079,0,00000000,00000000,0
610,610,0,1,007a,0,00000000,00000000,0
611,611,0,1,007b,0,00000000,00000000,0
612,612,0,1,007c,0,00000000,00000000,0
613,613,0,1,007d,0,00000000,00000000,0
614,614,0,1,007e,0,00000000,00000000,0
615,615,0,1,007f,0,00000000,00000000,0
616,616,0,1,0080,0,00000000,00000000,0
617,617,0,1,0081,0,00000000,00000000,0
618,618,0,1,0082,0,00000000,00000000,0
619,619,0,1,0083,0,00000000,00000000,0
620,620,0,1,0084,0,00000000,00000000,0
621,621,0,1,0085,0,00000000,00000000,0
622,622,0,1,0086,0,00000000,00000000,0
623,623,0,1,0087,0,00000000,00000000,0
624,624,0,1,0088,0,00000000,00000000,0
625,625,0,1,0089,0,00000000,00000000,0
626,626,0,1,008a,0,00000000,00000000,0
627,627,0,1,008b,0,00000000,00000000,0
628,628,0,1,008c,0,00000000,00000000,0
629,629,0,1,008d,0,00000000,00000000,0
630,630,0,1,008e,0,00000000,00000000,0
631,631,0,1,008f,0,00000000,00000000,0
632,632,0,1,0090,0,00000000,00000000,0
633,633,0,1,0091,0,00000000,00000000,0
634,634,0,1,0092,0,00000000,00000000,0
635,635,0,1,0093,0,00000000,00000000,0
636,636,0,1,0094,0,00000000,00000000,0
637,637,0,1,0095,0,00000000,00000000,0
638,638,0,1,0096,0,00000000,00000000,0
639,639,0,1,0097,0,00000000,00000000,0
640,640,0,1,0098,0,00000000,00000000,0
641,641,0,1,0099,0,00000000,00000000,0
642,642,0,1,009a,0,00000000,00000000,0
643,643,0,1,009b,0,00000000,00000000,0
644,644,0,1,009c,0,00000000,00000000,0
645,645,0,1,009d,0,00000000,00000000,0
646,646,0,1,009e,0,00000000,00000000,0
647,647,0,1,009f,0,00000000,00000000,0
648,648,0,1,00a0,0,00000000,00000000,0
649,649,0,1,00a1,0,00000000,00000000,0
650,650,0,1,00a2,0,00000000,00000000,0
651,651,0,1,00a3,0,00000000,00000000,0
652,652,0,1,00a4,0,00000000,00000000,0
653,653,0,1,00a5,0,00000000,00000000,0
654,654,0,1,00a6,0,00000000,00000000,0
655,655,0,1,00a7,0,00000000,00000000,0
656,656,0,1,00a8,0,00000000,00000000,0
657,657,0,1,00a9,0,00000000,00000000,0
658,658,0,1,00aa,0,00000000,00000000,0
659,659,0,1,00ab,0,00000000,00000000,0
660,660,0,1,00ac,0,00000000,00000000,0
661,661,0,1,00ad,0,00000000,00000000,0
662,662,0,1,00ae,0,00000000,00000000,0
663,663,0,1,00af,0,00000000,00000000,0
664,664,0,1,00b0,0,00000000,00000000,0
665,665,0,1,00b1,0,00000000,00000000,0
666,666,0,1,00b2,0,00000000,00000000,0
667,667,0,1,00b3,0,00000000,00000000,0
668,668,0,1,00b4,0,00000000,00000000,0
669,669,0,1,00b5,0,00000000,00000000,0
670,670,0,1,00b6,0,00000000,00000000,0
671,671,0,1,00b7,0,00000000,00000000,0
672,672,0,1,00b8,0,00000000,00000000,0
673,673,0,1,00b9,0,00000000,00000000,0
674,674,0,1,00ba,0,00000000,00000000,0
675,675,0,1,00bb,0,00000000,00000000,0
676,676,0,1,00bc,0,00000000,00000000,0
677,677,0,1,00bd,0,00000000,00000000,0
678,678,0,1,00be,0,00000000,00000000,0
679,679,0,1,00bf,0,00000000,00000000,0
680,680,0,1,00c0,0,00000000,00000000,0
681,681,0,1,00c1,0,00000000,00000000,0
682,682,0,1,00c2,0,00000000,00000000,0
683,683,0,1,00c3,0,00000000,00000000,0
684,684,0,1,00c4,0,00000000,00000000,0
685,685,0,1,00c5,0,00000000,00000000,0
686,686,0,1,00c6,0,00000000,00000000,0
687,687,0,1,00c7,0,00000000,00000000,0
688,688,0,1,00c8,0,00000000,00000000,0
689,689,0,1,00c9,0,00000000,00000000,0
690,690,0,1,00ca,0,00000000,00000000,0
691,691,0,1,00cb,0,00000000,00000000,0
692,692,0,1,00cc,0,00000000,00000000,0
693,693,0,1,00cd,0,00000000,00000000,0
694,694,0,1,00ce,0,00000000,00000000,0
695,695,0,1,00cf,0,00000000,00000000,0
696,696,0,1,00d0,0,00000000,00000000,0
697,697,0,1,00d1,0,00000000,00000000,0
698,698,0,1,00d2,0,00000000,00000000,0
699,699,0,1,00d3,0,00000000,00000000,0
700,700,0,1,00d4,0,00000000,00000000,0
701,701,0,1,00d5,0,00000000,00000000,0
702,702,0,1,00d6,0,00000000,00000000,0
703,703,0,1,00d7,0,00000000,00000000,0
704,704,0,1,00d8,0,00000000,00000000,0
705,705,0,1,00d9,0,00000000,00000000,0
706,706,0,1,00da,0,00000000,00000000,0
707,707,0,1,00db,0,00000000,00000000,0
708,708,0,1,00dc,0,00000000,00000000,0
709,709,0,1,00dd,0,00000000,00000000,0
710,710,0,1,00de,0,00000000,00000000,0
711,711,0,1,00df,0,00000000,00000000,0
712,712,0,1,00e0,0,00000000,00000000,0
713,713,0,1,00e1,0,00000000,00000000,0
714,714,0,1,00e2,0,00000000,00000000,0
715,715,0,1,00e3,0,00000000,00000000,0
716,716,0,1,00e4,0,00000000,00000000,0
717,717,0,1,00e5,0,00000000,00000000,0
718,718,0,1,00e6,0,00000000,00000000,0
719,719,0,1,00e7,0,00000000,00000000,0
720,720,0,1,00e8,0,00000000,00000000,0
721,721,0,1,00e9,0,00000000,00000000,0
722,722,0,1,00ea,0,00000000,00000000,0
723,723,0,1,00eb,0,00000000,00000000,0
724,724,0,1,00ec,0,00000000,00000000,0
725,725,0,1,00ed,0,00000000,00000000,0
726,726,0,1,00ee,0,00000000,00000000,0
727,727,0,1,00ef,0,00000000,00000000,0
728,728,0,1,00f0,0,00000000,00000000,0
729,729,0,1,00f1,0,00000000,00000000,0
730,730,0,1,00f2,0,00000000,00000000,0
731,731,0,1,00f3,0,00000000,00000000,0
732,732,0,1,00f4,0,00000000,00000000,0
733,733,0,1,00f5,0,00000000,00000000,0
734,734,0,1,00f6,0,00000000,00000000,0
735,735,0,1,00f7,0,00000000,00000000,0
736,736,0,1,00f8,0,00000000,00000000,0
737,737,0,1,00f9,0,00000000,00000000,0
738,738,0,1,00fa,0,00000000,00000000,0
739,739,0,1,00fb,0,00000000,00000000,0
740,740,0,1,00fc,0,00000000,00000000,0
741,741,0,1,00fd,0,00000000,00000000,0
742,742,0,1,00fe,0,00000000,00000000,0
743,743,0,1,00ff,0,00000000,00000000,0
744,744,0,1,0100,0,00000000,00000000,0
745,745,0,1,0101,0,00000000,00000000,0
746,746,0,1,0102,0,00000000,00000000,0
747,747,0,1,0103,0,00000000,00000000,0
748,748,0,1,0104,0,00000000,00000000,0
749,749,0,1,0105,0,00000000,00000000,0
750,750,0,1,0106,0,00000000,00000000,0
751,751,0,1,0107,0,00000000,00000000,0
752,752,0,1,0108,0,00000000,00000000,0
753,753,0,1,0109,0,00000000,00000000,0
754,754,0,1,010a,0,00000000,00000000,0
755,755,0,1,010b,0,00000000,00000000,0
756,756,0,1,010c,0,00000000,00000000,0
757,757,0,1,010d,0,00000000,00000000,0
758,758,0,1,010e,0,00000000,00000000,0
759,759,0,1,010f,0,00000000,00000000,0
760,760,0,1,0110,0,00000000,00000000,0
761,761,0,1,0111,0,00000000,00000000,0
762,762,0,1,0112,0,00000000,00000000,0
763,763,0,1,0113,0,00000000,00000000,0
764,764,0,1,0114,0,00000000,00000000,0
765,765,0,1,0115,0,00000000,00000000,0
766,766,0,1,0116,0,00000000,00000000,0
767,767,0,1,0117,0,00000000,00000000,0
768,768,0,1,0118,0,00000000,00000000,0
769,769,0,1,0119,0,00000000,00000000,0
770,770,0,1,011a,0,00000000,00000000,0
771,771,0,1,011b,0,00000000,00000000,0
772,772,0,1,011c,0,00000000,00000000,0
773,773,0,1,011d,0,00000000,00000000,0
774,774,0,1,011e,0,00000000,00000000,0
775,775,0,1,011f,0,00000000,00000000,0
776,776,0,1,0120,0,00000000,00000000,0
777,777,0,1,0121,0,00000000,00000000,0
778,778,0,1,0122,0,00000000,00000000,0
779,779,0,1,0123,0,00000000,00000000,0
780,780,0,1,0124,0,00000000,00000000,0
781,781,0,1,0125,0,00000000,00000000,0
782,782,0,1,0126,0,00000000,00000000,0
783,783,0,1,0127,0,00000000,00000000,0
784,784,0,1,0128,0,00000000,00000000,0
785,785,0,1,0129,0,00000000,00000000,0
786,786,0,1,012a,0,00000000,00000000,0
787,787,0,1,012b,0,00000000,00000000,0
788,788,0,1,012c,0,00000000,00000000,0
789,789,0,1,012d,0,00000000,00000000,0
790,790,0,1,012e,0,00000000,00000000,0
791,791,0,1,012f,0,00000000,00000000,0
792,792,0,1,0130,0,00000000,00000000,0
793,793,0,1,0131,0,00000000,00000000,0
794,794,0,1,0132,0,00000000,00000000,0
795,795,0,1,0133,0,00000000,00000000,0
796,796,0,1,0134,0,00000000,00000000,0
797,797,0,1,0135,0,00000000,00000000,0
798,798,0,1,0136,0,00000000,00000000,0
799,799,0,1,0137,0,00000000,00000000,0
800,800,0,1,0138,0,00000000,00000000,0
801,801,0,1,0139,0,00000000,00000000,0
802,802,0,1,013a,0,00000000,00000000,0
803,803,0,1,013b,0,00000000,00000000,0
804,804,0,1,013c,0,00000000,00000000,0
805,805,0,1,013d,0,00000000,00000000,0
806,806,0,1,013e,0,00000000,00000000,0
807,807,0,1,013f,0,00000000,00000000,0
808,808,0,1,0140,0,00000000,00000000,0
809,809,0,1,0141,0,00000000,00000000,0
810,810,0,1,0142,0,00000000,00000000,0
811,811,0,1,0143,0,00000000,00000000,0
812,812,0,1,0144,0,00000000,00000000,0
813,813,0,1,0145,0,00000000,00000000,0
814,814,0,1,0146,0,00000000,00000000,0
815,815,0,1,0147,0,00000000,00000000,0
816,816,0,1,0148,0,00000000,00000000,0
817,817,0,1,0149,0,00000000,00000000,0
818,818,0,1,014a,0,00000000,00000000,0
819,819,0,1,014b,0,00000000,00000000,0
820,820,0,1,014c,0,00000000,00000000,0
821,821,0,1,014d,0,00000000,00000000,0
822,822,0,1,014e,0,00000000,00000000,0
823,823,0,1,014f,0,00000000,00000000,0
824,824,0,1,0150,0,00000000,00000000,0
825,825,0,1,0151,0,00000000,00000000,0
826,826,0,1,0152,0,00000000,00000000,0
827,827,0,1,0153,0,00000000,00000000,0
828,828,0,1,0154,0,00000000,00000000,0
829,829,0,1,0155,0,00000000,00000000,0
830,830,0,1,0156,0,00000000,00000000,0
831,831,0,1,0157,0,00000000,00000000,0
832,832,0,1,0158,0,00000000,00000000,0
833,833,0,1,0159,0,00000000,00000000,0
834,834,0,1,015a,0,00000000,00000000,0
835,835,0,1,015b,0,00000000,00000000,0
836,836,0,1,015c,0,00000000,00000000,0
837,837,0,1,015d,0,00000000,00000000,0
838,838,0,1,015e,0,00000000,00000000,0
839,839,0,1,015f,0,00000000,00000000,0
840,840,0,1,0160,0,00000000,00000000,0
841,841,0,1,0161,0,00000000,00000000,0
842,842,0,1,0162,0,00000000,00000000,0
843,843,0,1,0163,0,00000000,00000000,0
844,844,0,1,0164,0,00000000,00000000,0
845,845,0,1,0165,0,00000000,00000000,0
846,846,0,1,0166,0,00000000,00000000,0
847,847,0,1,0167,0,00000000,00000000,0
848,848,0,1,0168,0,00000000,00000000,0
849,849,0,1,0169,0,00000000,00000000,0
850,850,0,1,016a,0,00000000,00000000,0
851,851,0,1,016b,0,00000000,00000000,0
852,852,0,1,016c,0,00000000,00000000,0
853,853,0,1,016d,0,00000000,00000000,0
854,854,0,1,016e,0,00000000,00000000,0
855,855,0,1,016f,0,00000000,00000000,0
856,856,0,1,0170,0,00000000,00000000,0
857,857,0,1,0171,0,00000000,00000000,0
858,858,0,1,0172,0,00000000,00000000,0
859,859,0,1,0173,0,00000000,00000000,0
860,860,0,1,0174,0,00000000,00000000,0
861,861,0,1,0175,0,00000000,00000000,0
862,862,0,1,0176,0,00000000,00000000,0
863,863,0,1,0177,0,00000000,00000000,0
864,864,0,1,0178,0,00000000,00000000,0
865,865,0,1,0179,0,00000000,00000000,0
866,866,0,1,017a,0,00000000,00000000,0
867,867,0,1,017b,0,00000000,00000000,0
868,868,0,1,017c,0,00000000,00000000,0
869,869,0,1,017d,0,00000000,00000000,0
870,870,0,1,017e,0,00000000,00000000,0
871,871,0,1,017f,0,00000000,00000000,0
872,872,0,1,0180,0,00000000,00000000,0
873,873,0,1,0181,0,00000000,00000000,0
874,874,0,1,0182,0,00000000,00000000,0
875,875,0,1,0183,0,00000000,00000000,0
876,876,0,1,0184,0,00000000,00000000,0
877,877,0,1,0185,0,00000000,00000000,0
878,878,0,1,0186,0,00000000,00000000,0
879,879,0,1,0187,0,00000000,00000000,0
880,880,0,1,0188,0,00000000,00000000,0
881,881,0,1,0189,0,00000000,00000000,0
882,882,0,1,018a,0,00000000,00000000,0
883,883,0,1,018b,0,00000000,00000000,0
884,884,0,1,018c,0,00000000,00000000,0
885,885,0,1,018d,0,00000000,00000000,0
886,886,0,1,018e,0,00000000,00000000,0
887,887,0,1,018f,0,00000000,00000000,0
888,888,0,1,0190,0,00000000,00000000,0
889,889,0,1,0191,0,00000000,00000000,0
890,890,0,1,0192,0,00000000,00000000,0
891,891,0,1,0193,0,00000000,00000000,0
892,892,0,1,0194,0,00000000,00000000,0
893,893,0,1,0195,0,00000000,00000000,0
894,894,0,1,0196,0,00000000,00000000,0
895,895,0,1,0197,0,00000000,00000000,0
896,896,0,1,0198,0,00000000,00000000,0
897,897,0,1,0199,0,00000000,00000000,0
898,898,0,1,019a,0,00000000,00000000,0
899,899,0,1,019b,0,00000000,00000000,0
900,900,0,1,019c,0,00000000,00000000,0
901,901,0,1,019d,0,00000000,00000000,0
902,902,0,1,019e,0,00000000,00000000,0
903,903,0,1,019f,0,00000000,00000000,0
904,904,0,1,01a0,0,00000000,00000000,0
905,905,0,1,01a1,0,00000000,00000000,0
906,906,0,1,01a2,0,00000000,00000000,0
907,907,0,1,01a3,0,00000000,00000000,0
908,908,0,1,01a4,0,00000000,00000000,0
909,909,0,1,01a5,0,00000000,00000000,0
910,910,0,1,01a6,0,00000000,00000000,0
911,911,0,1,01a7,0,00000000,00000000,0
912,912,0,1,01a8,0,00000000,00000000,0
913,913,0,1,01a9,0,00000000,00000000,0
914,914,0,1,01aa,0,00000000,00000000,0
915,915,0,1,01ab,0,00000000,00000000,0
916,916,0,1,01ac,0,00000000,00000000,0
917,917,0,1,01ad,0,00000000,00000000,0
918,918,0,1,01ae,0,00000000,00000000,0
919,919,0,1,01af,0,00000000,00000000,0
920,920,0,1,01b0,0,00000000,00000000,0
921,921,0,1,01b1,0,00000000,00000000,0
922,922,0,1,01b2,0,00000000,00000000,0
923,923,0,1,01b3,0,00000000,00000000,0
924,924,0,1,01b4,0,00000000,00000000,0
925,925,0,1,01b5,0,00000000,00000000,0
926,926,0,1,01b6,0,00000000,00000000,0
927,927,0,1,01b7,0,00000000,00000000,0
928,928,0,1,01b8,0,00000000,00000000,0
929,929,0,1,01b9,0,00000000,00000000,0
930,930,0,1,01ba,0,00000000,00000000,0
931,931,0,1,01bb,0,00000000,00000000,0
932,932,0,1,01bc,0,00000000,00000000,0
933,933,0,1,01bd,0,00000000,00000000,0
934,934,0,1,01be,0,00000000,00000000,0
935,935,0,1,01bf,0,00000000,00000000,0
936,936,0,1,01c0,0,00000000,00000000,0
937,937,0,1,01c1,0,00000000,00000000,0
938,938,0,1,01c2,0,00000000,00000000,0
939,939,0,1,01c3,0,00000000,00000000,0
940,940,0,1,01c4,0,00000000,00000000,0
941,941,0,1,01c5,0,00000000,00000000,0
942,942,0,1,01c6,0,00000000,00000000,0
943,943,0,1,01c7,0,00000000,00000000,0
944,944,0,1,01c8,0,00000000,00000000,0
945,945,0,1,01c9,0,00000000,00000000,0
946,946,0,1,01ca,0,00000000,00000000,0
947,947,0,1,01cb,0,00000000,00000000,0
948,948,0,1,01cc,0,00000000,00000000,0
949,949,0,1,01cd,0,00000000,00000000,0
950,950,0,1,01ce,0,00000000,00000000,0
951,951,0,1,01cf,0,00000000,00000000,0
952,952,0,1,01d0,0,00000000,00000000,0
953,953,0,1,01d1,0,00000000,00000000,0
954,954,0,1,01d2,0,00000000,00000000,0
955,955,0,1,01d3,0,00000000,00000000,0
956,956,0,1,01d4,0,00000000,00000000,0
957,957,0,1,01d5,0,00000000,00000000,0
958,958,0,1,01d6,0,00000000,00000000,0
959,959,0,1,01d7,0,00000000,00000000,0
960,960,0,1,01d8,0,00000000,00000000,0
961,961,0,1,01d9,0,00000000,00000000,0
962,962,0,1,01da,0,00000000,00000000,0
963,963,0,1,01db,0,00000000,00000000,0
964,964,0,1,01dc,0,00000000,00000000,0
965,965,0,1,01dd,0,00000000,00000000,0
966,966,0,1,01de,0,00000000,00000000,0
967,967,0,1,01df,0,00000000,00000000,0
968,968,0,1,01e0,0,00000000,00000000,0
969,969,0,1,01e1,0,00000000,00000000,0
970,970,0,1,01e2,0,00000000,00000000,0
971,971,0,1,01e3,0,00000000,00000000,0
972,972,0,1,01e4,0,00000000,00000000,0
973,973,0,1,01e5,0,00000000,00000000,0
974,974,0,1,01e6,0,00000000,00000000,0
975,975,0,1,01e7,0,00000000,00000000,0
976,976,0,1,01e8,0,00000000,00000000,0
977,977,0,1,01e9,0,00000000,00000000,0
978,978,0,1,01ea,0,00000000,00000000,0
979,979,0,1,01eb,0,00000000,00000000,0
980,980,0,1,01ec,0,00000000,00000000,0
981,981,0,1,01ed,0,00000000,00000000,0
982,982,0,1,01ee,0,00000000,00000000,0
983,983,0,1,01ef,0,00000000,00000000,0
984,984,0,1,01f0,0,00000000,00000000,0
985,985,0,1,01f1,0,00000000,00000000,0
986,986,0,1,01f2,0,00000000,00000000,0
987,987,0,1,01f3,0,00000000,00000000,0
988,988,0,1,01f4,0,00000000,00000000,0
989,989,0,1,01f5,0,00000000,00000000,0
990,990,0,1,01f6,0,00000000,00000000,0
991,991,0,1,01f7,0,00000000,00000000,0
992,992,0,1,01f8,0,00000000,00000000,0
993,993,0,1,01f9,0,00000000,00000000,0
994,994,0,1,01fa,0,00000000,00000000,0
995,995,0,1,01fb,0,00000000,00000000,0
996,996,0,1,01fc,0,00000000,00000000,0
997,997,0,1,01fd,0,00000000,00000000,0
998,998,0,1,01fe,0,00000000,00000000,0
999,999,0,1,01ff,0,00000000,00000000,0
1000,1000,0,1,0200,0,00000000,00000000,0
1001,1001,0,1,0201,0,00000000,00000000,0
1002,1002,0,1,0202,0,00000000,00000000,0
1003,1003,0,1,0203,0,00000000,00000000,0
1004,1004,0,1,0204,0,00000000,00000000,0
1005,1005,0,1,0205,0,00000000,00000000,0
1006,1006,0,1,0206,0,00000000,00000000,0
1007,1007,0,1,0207,0,00000000,00000000,0
1008,1008,0,1,0208,0,00000000,00000000,0
1009,1009,0,1,0209,0,00000000,00000000,0
1010,1010,0,1,020a,0,00000000,00000000,0
1011,1011,0,1,020b,0,00000000,00000000,0
1012,1012,0,1,020c,0,00000000,00000000,0
1013,1013,0,1,020d,0,00000000,00000000,0
1014,1014,0,1,020e,0,00000000,00000000,0
1015,1015,0,1,020f,0,00000000,00000000,0
1016,1016,0,1,0210,0,00000000,00000000,0
1017,1017,0,1,0211,0,00000000,00000000,0
1018,1018,0,1,0212,0,00000000,00000000,0
1019,1019,0,1,0213,0,00000000,00000000,0
1020,1020,0,1,0214,0,00000000,00000000,0
1021,1021,0,1,0215,0,00000000,00000000,0
1022,1022,0,1,0216,0,00000000,00000000,0
1023,1023,0,1,0217,0,00000000,00000000,0
